registration_no,subject_content_text,cleaned_text,annotation
MORLY/E/2023/0123456,"Meri train baar baar cancel ho rahi hai, is par kya kar rahe hain?",train baar baar cancel,ticket_booking
MORLY/E/2023/1234560,Mujhe ticket cancellation par refund nahi mila hai. Help karein.,ticket cancellation refund nahi mila,"refund_delay,ticket_booking"
MORLY/E/2023/2345601,Train me staff ki kami hai. Bahut dikkat ho rahi hai.,train staff kami bahut dikkat,staff_misbehavior
MORLY/E/2023/3456012,"Platform bahut kharab hai, isko theek karein.",platform bahut kharab isko theek,"platform_infrastructure,service_quality"
MORLY/E/2023/4560123,"Train ka schedule kabhi bhi nahi chalta hai, fix karein.",train schedule nahi chalta fix,train_schedule
MORLY/E/2023/5601234,Mujhe train cancel hone par refund nahi mila. Bahut pareshani ho rahi hai.,train cancel hone refund nahi mila bahut pareshani,"refund_delay,ticket_booking"
MORLY/E/2023/6012345,Train ke staff ko training ki zarurat hai. Behavior bilkul theek nahi hai.,train staff training zarurat behavior theek nahi,"staff_misbehavior,staff_training"
MORLY/E/2023/7123456,"Railway station ki facilities bahut kharab hain, sudharna zaroori hai.",railway station facilities bahut kharab sudharna zaroori,"platform_infrastructure,service_quality"
MORLY/E/2023/8123456,"Meri train baar baar delay ho rahi hai, kya karein?",train baar baar delay,train_delay
MORLY/E/2023/9123456,Mujhe mera train ticket cancel karne ke baad refund nahi mila hai.,train ticket cancel baad refund nahi mila,"refund_delay,ticket_booking"
MORLY/E/2023/7345039,"Train time par nahi aayi, kaafi der ho gayi thi. Koi pata nahi chala.",train time nahi der pata nahi chala,train_schedule
MORLY/E/2023/8491632,"Mere ticket ki payment nahi hui thi, baar baar koshish ki lekin kuch nahi hua.",ticket payment nahi baar baar koshish nahi,"ticket_booking,payment_issue"
MORLY/E/2023/2918274,"Platform par safai nahi ho rahi hai, bahut ganda hai. Kripya dekhiye.",platform safai nahi bahut ganda kripya dekhiye,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/5482367,"Train ke staff rude hain, unhe training ki zarurat hai. Samajh nahi aata kaise baat karein.",train staff rude training zarurat samajh nahi aata baat,"staff_misbehavior,staff_training"
MORLY/E/2023/7628415,Train timing kabhi kabhi theek nahi hoti. Koi pata nahi chalata kahan hai.,train timing theek nahi pata nahi chalata,"platform_infrastructure,train_schedule"
MORLY/E/2023/4305627,"Mujhe ticket ka paisa wapas chahiye, lekin koi response nahi aa raha.",ticket paisa wapas chahiye response nahi,"refund_delay,ticket_booking"
MORLY/E/2023/6392710,"Railway station par lift kaam nahi kar rahi hai, bohot mushkil ho raha hai.",railway station lift kaam nahi bohot mushkil,platform_infrastructure
MORLY/E/2023/7341059,"Staff ka behavior theek nahi hai, customers se achhe se baat nahi karte.",staff behavior theek nahi customers achhe baat nahi karte,staff_misbehavior
MORLY/E/2023/8261734,Train ka schedule kabhi bhi theek nahi hota. Mujhe samasya hai usse.,train schedule theek nahi samasya usse,train_schedule
MORLY/E/2023/2917485,Mere payment ka status nahi mil raha. Mujhe jaldi paisa chahiye.,payment status nahi mil jaldi paisa chahiye,payment_issue
MORLY/E/2023/4926381,Station ka infrastructure theek nahi hai. Bahut mushkil hota hai yatra karna.,station infrastructure theek nahi bahut mushkil yatra,platform_infrastructure
MORLY/E/2023/2018365,"Train staff ko training ki zarurat hai, unka behavior samasya hai.",train staff training zarurat behavior samasya,"staff_misbehavior,staff_training"
MORLY/E/2023/8746210,"Train time par nahi aayi, mujhe kaafi samasya hui. Kripya dekhiye.",train time nahi samasya kripya dekhiye,train_schedule
MORLY/E/2023/6712028,"Mujhe refund nahi mila. Bahut din ho gaye, koi response nahi aaya.",refund nahi mila bahut din response nahi,refund_delay
MORLY/E/2023/4592038,Platform par bahut gande paani hain. Sudhaar ki zarurat hai.,platform bahut gande paani sudhaar zarurat,platform_infrastructure
MORLY/E/2023/3026415,Staff ka behavior kaafi bura hai. Unhe customers se baat karne ki training chahiye.,staff behavior bura customers baat training chahiye,"staff_misbehavior,staff_training"
MORLY/E/2023/7564832,"Mujhe baar baar same train ko miss karna pad raha hai, kaafi bura lag raha hai.",baar baar train miss pad bura lag,staff_misbehavior
MORLY/E/2023/6719104,"Mujhe refund ka status chahiye, koi response nahi aa raha hai.",refund status chahiye response nahi,refund_delay
MORLY/E/2023/1205678,"Station par bahut samasya hai, safai nahi ho rahi hai.",station bahut samasya safai nahi,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/9456720,"Staff ka behavior bahut achha nahi hai, unhe customer service ka training chahiye.",staff behavior bahut achha nahi customer service training chahiye,"staff_misbehavior,service_quality,staff_training"
MORLY/E/2023/2345678,Mera payment abhi tak process nahi hua hai. Ticket ka PNR XXXXXX hai. Jaldi karein!,payment abhi process nahi ticket pnr xxxxxx jaldi,"ticket_booking,payment_issue"
MORLY/E/2023/3456789,Mujhe meri train ki timing change hone se dikkat ho rahi hai. Kya isse theek kiya jaa sakta hai?,train timing change hone dikkat isse theek jaa sakta,train_schedule
MORLY/E/2023/4567890,Platform par bahut gande paani bhara hai. Infrastructure ko turant theek karna chahiye.,platform bahut gande paani bhara infrastructure turant theek chahiye,platform_infrastructure
MORLY/E/2023/5678901,Raha par jo staff hai woh rude hai aur madad nahi karte. Iska kya hoga?,staff rude nahi karte hoga,staff_misbehavior
MORLY/E/2023/6789012,Mujhe refund milne mein bahut samay lag raha hai. Kya aap check kar sakte hain?,refund milne bahut samay lag check sakte,refund_delay
MORLY/E/2023/7890123,Train late ho rahi hai aur koi information nahi mil rahi. Is par kya action liya ja raha hai?,train late information nahi mil action,"train_delay,staff_training"
MORLY/E/2023/8901234,Railway station ki safai bahut kharab hai. Kya kuch kiya ja raha hai is par?,railway station safai bahut kharab,"train_cleanliness,platform_infrastructure,service_quality"
MORLY/E/2023/9012345,Train ke staff bahut rude hain. Unka behavior bilkul accha nahi hai.,train staff bahut rude behavior accha nahi,staff_misbehavior
MORLY/E/2023/0123456,"Mera ticket ka payment nahi hua hai, kya main check kar sakta hoon?",ticket payment nahi main check sakta,"ticket_booking,payment_issue"
MORLY/E/2023/1234560,Mujhe train ki seating arrangement se problem hai. Bahut samasya ho rahi hai.,train seating arrangement problem bahut samasya,service_quality
MORLY/E/2023/2345601,Station par facilities bahut bekar hain. Kya kuch sudhar hoga?,station facilities bahut bekar sudhar hoga,"platform_infrastructure,service_quality"
MORLY/E/2023/3456012,Mujhe staff ki service se khushi nahi hai. Unki training par dhyan dena chahiye.,staff service khushi nahi unki training dhyan dena chahiye,"staff_misbehavior,service_quality,staff_training"
MORLY/E/2023/4560123,"Maine refund request ki thi, par ab tak koi response nahi aaya. Kya status hai?",refund request response nahi status,refund_delay
MORLY/E/2023/5601234,Train ka schedule bilkul erratic hai. Aap log kuch nahi kar rahe hain.,train schedule erratic log nahi,train_schedule
MORLY/E/2023/6781234,Railway station par lift kaafi time se band hai. Kya kuch kiya jaa raha hai?,railway station lift time band jaa,"platform_infrastructure,train_schedule"
MORLY/E/2023/7891234,Kuch staff ki service theek nahi hai. Unki training par dhyan dena chahiye.,staff service theek nahi unki training dhyan dena chahiye,"staff_misbehavior,service_quality,staff_training"
MORLY/E/2023/8901234,"Maine jo payment kiya tha, woh cancel ho gaya. Kya mujhe refund milega?",payment cancel refund milega,"refund_delay,ticket_booking,payment_issue"
MORLY/E/2023/9012345,Train ka schedule bahut late aur irregular hai. Kya is par kuch kiya ja raha hai?,train schedule bahut late irregular,"train_delay,train_schedule"
MORLY/E/2023/1234567,Train ka schedule bar-bar change hota hai. Is wajah se hum logon ko mushkil hoti hai. Please iss par dhyan dein.,train schedule barbar change wajah logon mushkil iss dhyan dein,train_schedule
MORLY/E/2023/2345678,"Maine ticket book kiya tha, par payment abhi tak nahi hua. Mujhe refund chahiye.",ticket book payment abhi nahi refund chahiye,"refund_delay,ticket_booking,payment_issue"
MORLY/E/2023/3456789,Station par staff ka behavior bahut bura hai. Unhe train time table ki knowledge nahi hai.,station staff behavior bahut bura train time table knowledge nahi,"staff_misbehavior,platform_infrastructure,staff_training,train_schedule"
MORLY/E/2023/4567890,"Platform par safai nahi hoti hai, bahut gandh hai. Kripya sudhar karein.",platform safai nahi bahut gandh kripya sudhar,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/5678901,Train baar baar late ho rahi hai. Ye bahut pareshani ka karan hai.,train baar baar late bahut pareshani karan,train_delay
MORLY/E/2023/6789012,"Mujhe ticket ka paisa nahi mila, please meri madad karein.",ticket paisa nahi mila,ticket_booking
MORLY/E/2023/7890123,Ticket counter par staff rude hai. Unhe training ki zaroorat hai.,ticket counter staff rude training zaroorat,"ticket_booking,staff_misbehavior,staff_training"
MORLY/E/2023/8901234,Platform bahut kharab hai aur khatarnaak hai. Jaldi sudhar karein.,platform bahut kharab khatarnaak jaldi sudhar,"platform_infrastructure,service_quality"
MORLY/E/2023/9012345,Train ki seat confirm nahi hui hai jab ki payment ho chuki hai. Help karein.,train seat confirm nahi jab payment chuki,payment_issue
MORLY/E/2023/0123456,Mujhe refund nahi mila jo ki do hafte pehle apply kiya tha.,refund nahi mila hafte pehle apply,refund_delay
MORLY/E/2023/1238901,Staff ko training ki zaroorat hai kyunki unka behavior acha nahi hota.,staff training zaroorat kyunki behavior acha nahi,"staff_misbehavior,staff_training"
MORLY/E/2023/2345670,"Railway track bahut purani hai, isse sudharna bahut zaroori hai.",railway track bahut purani isse sudharna bahut zaroori,service_quality
MORLY/E/2023/3456781,Train mein passengers ka behavior bilkul theek nahi hai. Kisi ko dekh nahi raha hai.,train passengers behavior theek nahi kisi dekh nahi,staff_misbehavior
MORLY/E/2023/4567892,Mujhe ticket ka paisa nahi mila hai. Bahut samay ho gaya.,ticket paisa nahi mila bahut samay,ticket_booking
MORLY/E/2023/5678903,"Staff ki behavior achi nahi hai, unhe training ki zaroorat hai.",staff behavior achi nahi training zaroorat,"staff_misbehavior,staff_training"
MORLY/E/2023/6789014,Railway station par facilities bahut kharab hain. Kripya sudhar karein.,railway station facilities bahut kharab kripya sudhar,"platform_infrastructure,service_quality"
MORLY/E/2023/7890125,Train ka delay hona humare liye pareshani ka karan hai. Is par dhyan dena chahiye.,train delay humare pareshani karan dhyan dena chahiye,train_delay
MORLY/E/2023/8901236,Paisa abhi tak nahi aaya hai. Bahut din ho gaye.,paisa abhi nahi bahut din,service_quality
MORLY/E/2023/9012347,Mujhe staff ki training ki zaroorat hai kyunki unka behavior acha nahi hai.,staff training zaroorat kyunki behavior acha nahi,"staff_misbehavior,staff_training"
MORLY/E/2023/0123458,Railway station par basic facilities nahi hain. Kripya sudhar karein.,railway station basic facilities nahi kripya sudhar,platform_infrastructure
MORLY/E/2023/1234569,Train ka timetable bahut confusing hai. Isse sudharne ki zaroorat hai.,train timetable bahut confusing isse sudharne zaroorat,train_schedule
MORLY/E/2023/2345678,Mujhe abhi tak mera ticket ka paisa nahi mila hai. Bahut din ho gaye.,abhi ticket paisa nahi mila bahut din,ticket_booking
MORLY/E/2023/2345678,"Train ka schedule bahut kharab hai. Meri train 2 ghante late aayi, bahut pareshani hui.",train schedule bahut kharab train ghante late bahut pareshani,"train_delay,service_quality,train_schedule"
MORLY/E/2023/3456789,"Mujhe refund nahi mil raha hai, payment confirm ho gaya tha. Bahut pareshaani ho rahi hai.",refund nahi mil payment confirm bahut pareshaani,"refund_delay,payment_issue"
MORLY/E/2023/4567890,Staff ka behavior thoda behtar hona chahiye. Unhone mujhe samajhne ki koshish nahi ki.,staff behavior thoda behtar chahiye unhone samajhne koshish nahi,staff_misbehavior
MORLY/E/2023/5678901,Platform ki safai bahut kharab hai. Kya yeh nahi sudharega?,platform safai bahut kharab nahi sudharega,"train_cleanliness,platform_infrastructure,service_quality"
MORLY/E/2023/6789012,"Train ke timings sahi nahi hai, mujhe kaam par pahunchne mein samasya ho rahi hai.",train timings sahi nahi kaam pahunchne samasya,train_schedule
MORLY/E/2023/7890123,Mujhe ticket cancel karne par refund nahi mila. Ye kya hal hai?,ticket cancel refund nahi mila hal,"refund_delay,ticket_booking"
MORLY/E/2023/8901234,Station staff bilkul nahi mil rahe the. Badi dikkat hui.,station staff nahi mil badi dikkat,"staff_misbehavior,platform_infrastructure,service_quality"
MORLY/E/2023/9012345,"Railway track par khudai chal rahi hai, safar mein dikkat ho rahi hai.",railway track khudai chal safar dikkat,service_quality
MORLY/E/2023/0123456,"Train ka coach bahut ganda tha, safar mein maza nahi aaya.",train coach bahut ganda safar maza nahi,train_cleanliness
MORLY/E/2023/1234567,Refund ka process kahan hai? 10 din ho gaye abhi tak kuch nahi milaa.,refund process din abhi nahi milaa,refund_delay
MORLY/E/2023/2345678,"Staff ke saath baat karne mein dikkat hui, unhone nafrat ki tarah treat kiya.",staff saath baat dikkat unhone nafrat tarah treat,staff_misbehavior
MORLY/E/2023/3456789,"Station ki building bahut purani hai, kya kuch nahi karega?",station building bahut purani nahi karega,platform_infrastructure
MORLY/E/2023/4567890,"Train mein seat confirm nahi hui, bahut pareshaani hui.",train seat confirm nahi bahut pareshaani,payment_issue
MORLY/E/2023/5678901,"Mujhe ticket ka paisa wapas nahi mil raha, kya karein?",ticket paisa wapas nahi mil,"refund_delay,ticket_booking"
MORLY/E/2023/6789012,Station staff ka behavior theek nahi hai. Unhone help nahi ki.,station staff behavior theek nahi unhone nahi,"staff_misbehavior,platform_infrastructure"
MORLY/E/2023/7890123,"Station par washroom ki safai theek nahi hai, bahut gandh hai.",station washroom safai theek nahi bahut gandh,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/8901235,"Train mein safety measures nahi hain, bahut dar lagta hai safar karne mein.",train safety measures nahi bahut dar lagta safar,service_quality
MORLY/E/2023/1234567,Train kab aayegi? Samay se nahi aayi toh bahut dikkat hoti hai.,train aayegi samay nahi bahut dikkat,service_quality
MORLY/E/2023/2345678,Mujhe payment ka confirmation nahi mila. Please help.,payment confirmation nahi mila,payment_issue
MORLY/E/2023/3456789,"Platform par safai nahi ho rahi hai, bhut ganda ho gaya hai.",platform safai nahi bhut ganda,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/4567890,"Train ka timing bar-bar badal raha hai, bahut pareshani ho rahi hai.",train timing barbar badal bahut pareshani,"service_quality,train_schedule"
MORLY/E/2023/5678901,Mujhe ticket ke liye payment nahi ho raha. Help karein.,ticket payment nahi,"ticket_booking,payment_issue"
MORLY/E/2023/6789012,"Station par bahut saari suvidhayein nahi hain, dikkat ho rahi hai.",station bahut saari suvidhayein nahi dikkat,platform_infrastructure
MORLY/E/2023/7890123,Mujhe train ki seat confirm nahi hui. Bahut pareshani ho rahi hai.,train seat confirm nahi bahut pareshani,payment_issue
MORLY/E/2023/8901234,Ticket lete waqt payment ka error aa raha hai. Help please.,ticket lete waqt payment error,"ticket_booking,payment_issue"
MORLY/E/2023/9012345,"Station par parking ki suvidha nahi hai, bahut dikkat hoti hai.",station parking suvidha nahi bahut dikkat,platform_infrastructure
MORLY/E/2023/0123456,Mujhe train ki timing ke baare mein information chahiye.,train timing baare information chahiye,"staff_training,train_schedule"
MORLY/E/2023/1234568,"Payment mein dikkat aa rahi hai, jaldi kuch karein.",payment dikkat jaldi,payment_issue
MORLY/E/2023/2345679,Railway station par cleaning ka dhyan nahi diya ja raha hai.,railway station cleaning dhyan nahi,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/3456780,"Train ki service bahut bekar ho gayi hai, kuch karen.",train service bahut bekar karen,service_quality
MORLY/E/2023/4567891,"Mujhe ticket refund nahi mila, please help.",ticket refund nahi mila,"refund_delay,ticket_booking"
MORLY/E/2023/5678902,"Station par bahut gandi hai, koi nahi aa raha safai karne.",station bahut gandi nahi safai,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/6789013,"Train ka samay baar baar badal raha hai, bahut pareshani hai.",train samay baar baar badal bahut pareshani,service_quality
MORLY/E/2023/7890124,"Payment mein dikkat aa rahi hai, please help.",payment dikkat,payment_issue
MORLY/E/2023/8901235,"Railway station par bahut dikkat ho rahi hai, infrastructure theek nahi hai.",railway station bahut dikkat infrastructure theek nahi,platform_infrastructure
MORLY/E/2023/9012346,"Train ki service bekar hai, bahut late ho rahi hai.",train service bekar bahut late,"train_delay,service_quality"
MORLY/E/2023/2345678,Mera train time par nahi aaya. Bahut pareshan ho gaya main.,train time nahi bahut pareshan main,train_schedule
MORLY/E/2023/7654321,"Mujhe online ticket booking mein payment issue aa raha hai, baar baar error aa raha hai!",online ticket booking payment issue baar baar error,"ticket_booking,payment_issue,service_quality"
MORLY/E/2023/2468013,"Station par safai nahi ho rahi hai, bahut ganda hai.",station safai nahi bahut ganda,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/3579246,"Train staff ki behavior bilkul theek nahi hai, unhe training ki zaroorat hai!",train staff behavior theek nahi training zaroorat,"staff_misbehavior,staff_training"
MORLY/E/2023/4159263,"Mujhe apne train ki timing ko lekar confusion ho raha hai, please help!",apne train timing lekar confusion,train_schedule
MORLY/E/2023/8982735,Mera PNR cancel ho gaya hai lekin mujhe refund nahi mila. Kya karu?,pnr cancel refund nahi mila karu,"refund_delay,ticket_booking"
MORLY/E/2023/3141592,"Platform par khudra samagri rakhne se muskil hoti hai, isse hatana zaroori hai!",platform khudra samagri rakhne muskil isse hatana zaroori,platform_infrastructure
MORLY/E/2023/8912736,"Train staff se baat karne mein bahut mushkil hoti hai, unki training honi chahiye.",train staff baat bahut mushkil unki training honi chahiye,"staff_misbehavior,staff_training"
MORLY/E/2023/2345679,"Mere train ka route change ho gaya bina kisi suchna ke, yeh bahut galat hai!",train route change bina kisi suchna bahut galat,service_quality
MORLY/E/2023/8765432,"Mujhe ticket cancel karne par refund nahi mila, please help!",ticket cancel refund nahi mila,"refund_delay,ticket_booking"
MORLY/E/2023/4567890,"Station par signal system sahi nahi hai, ye bahut khatarnak hai!",station signal system sahi nahi bahut khatarnak,platform_infrastructure
MORLY/E/2023/7890123,"Train staff bilkul bhi madad nahi kar rahe, unhe training ki zarurat hai.",train staff nahi training zarurat,"staff_misbehavior,staff_training"
MORLY/E/2023/1230987,"Train mein wifi nahi chal raha, bahut badi pareshani ho rahi hai.",train wifi nahi chal bahut badi pareshani,service_quality
MORLY/E/2023/3456123,"Mere account mein refund nahi aaya hai, kya mein kuch kar sakti hoon?",account refund nahi sakti,"refund_delay,payment_issue"
MORLY/E/2023/5678901,"Station par platform ki infrastructure kaafi purana ho gaya hai, iski zaroorat hai.",station platform infrastructure purana iski zaroorat,platform_infrastructure
MORLY/E/2023/3456789,"Lok sewa ke liye staff ki kami hai, kaam nahi ho raha.",lok sewa staff kami kaam nahi,staff_misbehavior
MORLY/E/2023/7890124,"Mera train schedule bar bar change ho raha hai, main pareshan hoon.",train schedule bar bar change main pareshan,train_schedule
MORLY/E/2023/6543210,"Mera ticket refund nahi ho raha hai, please madad karein!",ticket refund nahi,"refund_delay,ticket_booking"
MORLY/E/2023/4567891,"Station par platform ki halat kaafi kharab hai, sudhar ki zarurat hai!",station platform halat kharab sudhar zarurat,"platform_infrastructure,service_quality"
MORLY/E/2023/7894561,"Ticket collector ka behavior acha nahi hai, unhe training ki zarurat hai.",ticket collector behavior acha nahi training zarurat,"ticket_booking,staff_misbehavior,staff_training"
MORLY/E/2023/6543219,"Mujhe train ka ticket book karne mein dikkat aa rahi hai, madad karein.",train ticket book dikkat,ticket_booking
MORLY/E/2023/1234567,Train ki timing hamesha late hoti hai. Koi solution nahi hai kya? Kab tak intezaar karein?,train timing hamesha late solution nahi intezaar,"train_delay,train_schedule"
MORLY/E/2023/2345678,Mere account se paise deduct ho gaye par ticket nahi mili. Kaise milega refund?,account paise deduct ticket nahi mili milega refund,"refund_delay,ticket_booking,payment_issue"
MORLY/E/2023/3456789,"Station pe staff ki kami hai. Koi nahi hai madad ke liye, bahut dikkat hoti hai.",station staff kami nahi bahut dikkat,"staff_misbehavior,platform_infrastructure"
MORLY/E/2023/4567890,Platform ki condition bahut kharab hai. Safar karne mein bahut dikkat hoti hai.,platform condition bahut kharab safar bahut dikkat,"platform_infrastructure,service_quality"
MORLY/E/2023/5678901,Train cancel hone ke baad humein koi information nahi mili. Itna bada kaisa ho sakta hai!,train cancel hone baad information nahi mili bada kaisa sakta,"ticket_booking,service_quality,staff_training"
MORLY/E/2023/6789012,Mere refund ka pata nahi chala. Kahan hai mera paisa? Kaise milta hai?,refund pata nahi chala paisa milta,refund_delay
MORLY/E/2023/7890123,Station par koi staff nahi tha jab mujhe madad ki zaroorat thi. Bahut samasya hui.,station staff nahi jab zaroorat bahut samasya,"staff_misbehavior,platform_infrastructure"
MORLY/E/2023/8901234,Railway station ki cleanliness achhi nahi hai. Pura station ganda hai.,railway station cleanliness achhi nahi pura station ganda,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/9012345,"Train ka delay hamesha hota hai, koi solution nahi hai kya? Bahut pareshaan hoon.",train delay hamesha solution nahi bahut pareshaan,train_delay
MORLY/E/2023/0123456,Maine ticket cancel kiya tha lekin paise wapas nahi aaye. Kahan hai mera paisa?,ticket cancel paise wapas nahi aaye paisa,"refund_delay,ticket_booking,payment_issue"
MORLY/E/2023/1234568,Station par koi security nahi thi jab mujhe madad ki zaroorat thi. Bahut samasya hui.,station security nahi jab zaroorat bahut samasya,platform_infrastructure
MORLY/E/2023/2345679,"Station ki building bahut purani ho gayi hai, kuch nahi kiya ja raha.",station building bahut purani nahi,platform_infrastructure
MORLY/E/2023/3456780,Train ki seating arrangement bahut kharab thi. Bahut samasya hui.,train seating arrangement bahut kharab bahut samasya,service_quality
MORLY/E/2023/4567891,Maine ticket cancel kiya tha lekin mujhe koi update nahi mila. Kahan hai mera paisa?,ticket cancel update nahi mila paisa,ticket_booking
MORLY/E/2023/5678902,Station pe koi officer nahi tha jab mujhe madad ki zaroorat thi. Bahut samasya hui.,station officer nahi jab zaroorat bahut samasya,platform_infrastructure
MORLY/E/2023/6789013,Toilet ki condition bahut kharab hai. Safai nahi ki ja rahi hai.,toilet condition bahut kharab safai nahi,"train_cleanliness,platform_infrastructure,service_quality"
MORLY/E/2023/7890124,"Train ki service itni bekar hai, koi solution nahi hai kya? Bahut pareshaan hoon.",train service itni bekar solution nahi bahut pareshaan,service_quality
MORLY/E/2023/8901235,Maine ticket cancel kiya tha lekin mujhe koi update nahi mila. Kahan hai mera paisa?,ticket cancel update nahi mila paisa,ticket_booking
MORLY/E/2023/9012346,Station par koi officer nahi tha jab mujhe madad ki zaroorat thi. Bahut samasya hui.,station officer nahi jab zaroorat bahut samasya,platform_infrastructure
MORLY/E/2023/6543210,Mujhe train ka schedule samajhne mein dikkat aa rahi hai. Bahut baar trains late hoti hain.,train schedule samajhne dikkat bahut baar trains late,"train_delay,train_schedule"
MORLY/E/2023/7654321,"Mujhe refund nahi mila ab tak. Payment ka confirmation hai, par paisa nahi aaya.",refund nahi mila payment confirmation paisa nahi,"refund_delay,payment_issue"
MORLY/E/2023/8765432,Train ke staff ne mujhe behtar seva nahi di. Kafi samay tak unse baat nahi hui.,train staff behtar seva nahi kafi samay unse baat nahi,staff_misbehavior
MORLY/E/2023/9876543,"Platform bahut ganda hai. Safai nahi hoti, aur yeh bahut dikkat ka karan hai.",platform bahut ganda safai nahi bahut dikkat karan,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/1237654,Mujhe train ki timings nahi mil rahi hain. Har baar delay hota hai.,train timings nahi mil har baar delay,"train_delay,train_schedule"
MORLY/E/2023/3210987,Mujhe payment confirmation nahi mila. Kitna time lagega?,payment confirmation nahi mila time lagega,"payment_issue,train_schedule"
MORLY/E/2023/6547890,Train ke guards bahut rude hain. Unka vyavhar behtar hona chahiye.,train guards bahut rude vyavhar behtar chahiye,staff_misbehavior
MORLY/E/2023/7890123,Station par lift kaam nahi kar raha hai. Bahut dikkat hoti hai.,station lift kaam nahi bahut dikkat,platform_infrastructure
MORLY/E/2023/4567890,Train service bahut kharab hai. Bahut baar cancellations hoti hain.,train service bahut kharab bahut baar cancellations,"ticket_booking,service_quality"
MORLY/E/2023/0987654,Mere credit card se payment nahi ho raha hai. Kya karun?,credit card payment nahi karun,payment_issue
MORLY/E/2023/5432167,Train ke staff ki training achhi nahi hai. Unki samajh kam hai.,train staff training achhi nahi unki samajh kam,"staff_misbehavior,staff_training"
MORLY/E/2023/2109876,Station par parking ki suvidha nahi hai. Bahut dikkat hoti hai.,station parking suvidha nahi bahut dikkat,platform_infrastructure
MORLY/E/2023/3216549,Train ki timing hamesha badalti hai. Is par koi control nahi hai.,train timing hamesha badalti control nahi,"service_quality,train_schedule"
MORLY/E/2023/6547891,Mujhe apne ticket ka refund chahiye. Bahut time ho gaya hai.,apne ticket refund chahiye bahut time,"refund_delay,ticket_booking,train_schedule"
MORLY/E/2023/9876542,Train ke employees ka vyavhar thik nahi hai. Unhein samajhna mushkil hai.,train employees vyavhar thik nahi unhein samajhna mushkil,service_quality
MORLY/E/2023/1357924,Platform par dardnaak khadde hain. Yeh train ki seva ko prabhavit kar raha hai.,platform dardnaak khadde train seva prabhavit,platform_infrastructure
MORLY/E/2023/2468013,Train ke time par koi nahi hota. Is wajah se samasya hoti hai.,train time nahi wajah samasya,train_schedule
MORLY/E/2023/1352468,Mera payment option nahi chal raha. Kya kuch kaam nahi kar raha hai?,payment option nahi chal kaam nahi,payment_issue
MORLY/E/2023/1234567,"Train ka timetable bahut disturb ho raha hai, baar baar late ho rahi hai.",train timetable bahut disturb baar baar late,"train_delay,train_schedule"
MORLY/E/2023/2345678,"Mujhe apne ticket ka refund nahi mila, account number XXXXXX.",apne ticket refund nahi mila account number xxxxxx,"refund_delay,ticket_booking,payment_issue"
MORLY/E/2023/3456789,Railway staff rude hai aur madad nahi kar rahe hain.,railway staff rude nahi,staff_misbehavior
MORLY/E/2023/4567890,"Station par lift kharab hai, logon ko problem ho rahi hai.",station lift kharab logon problem,"platform_infrastructure,service_quality"
MORLY/E/2023/5678901,"Train ki cleaning nahi hui, bahut gandi hai.",train cleaning nahi bahut gandi,train_cleanliness
MORLY/E/2023/6789012,PNR XXXXXX ke liye payment confirmation nahi aaya.,pnr xxxxxx payment confirmation nahi,"ticket_booking,payment_issue"
MORLY/E/2023/7890123,"Railway ke staff ko training ki kami hai, service achi nahi hai.",railway staff training kami service achi nahi,"staff_misbehavior,service_quality,staff_training"
MORLY/E/2023/8901234,"Platform par bahut zyada paani bhara hai, koi arrangement nahi hai.",platform bahut zyada paani bhara arrangement nahi,platform_infrastructure
MORLY/E/2023/9012345,"Train ka seat confirmation nahi hua, baar baar issue aa raha hai.",train seat confirmation nahi baar baar issue,"payment_issue,service_quality"
MORLY/E/2023/0123456,"Ticket booking ke liye payment nahi ho raha, kafi baar try kiya.",ticket booking payment nahi kafi baar try,"ticket_booking,payment_issue"
MORLY/E/2023/1234501,"Train staff ka attitude bahut kharab hai, madad nahi kar rahe.",train staff attitude bahut kharab nahi,"staff_misbehavior,service_quality"
MORLY/E/2023/2345602,"Platform par safai nahi ho rahi, bahut ganda hai.",platform safai nahi bahut ganda,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/3456703,"Train baithne ka koi arrangement nahi hai, mushkil ho raha hai.",train baithne arrangement nahi mushkil,service_quality
MORLY/E/2023/4567804,Mujhe refund nahi mila PNR: XXXXXX ke liye.,refund nahi mila pnr xxxxxx,"refund_delay,ticket_booking"
MORLY/E/2023/5678905,"Staff se baat karne par samasya aaye, achhi service nahi.",staff baat samasya aaye achhi service nahi,"staff_misbehavior,service_quality"
MORLY/E/2023/6789016,"Station par bahut zyada gande restroom hain, safai nahi ho rahi.",station bahut zyada gande restroom safai nahi,"train_cleanliness,platform_infrastructure"
MORLY/E/2023/7890127,"Train me seating arrangement sahi nahi hai, sabko seat nahi mil raha.",train seating arrangement sahi nahi sabko seat nahi mil,service_quality
