registration_no,subject_content_text,cleaned_text,agg_cluster
MORLY/E/2023/3456780,"Train ke time mein bhot badlav aate hain, samasya ho rahi hai.",train time bhot badlav samasya,859
MORLY/E/2023/4567891,"Mujhe mera ticket cancel karne ka paisa nahi mila, baat karne se koi nahi sunta.",ticket cancel paisa nahi mila baat nahi sunta,533
MORLY/E/2023/5678902,"Station par kuch staff log rude hain, yeh kisi ko madad nahi karte.",station staff log rude kisi nahi karte,558
MORLY/E/2023/6789013,"Railway platforms par safety measures bilkul nahi hain, bahut dar lagta hai.",railway platforms safety measures nahi bahut dar lagta,256
MORLY/E/2023/7890124,"Train ki timings bilkul sahi nahi hain, samasya ho rahi hai.",train timings sahi nahi samasya,435
MORLY/E/2023/8901235,Mujhe refund nahi mila hai. Yeh bahut pareshani de raha hai.,refund nahi mila bahut pareshani,1250
MORLY/E/2023/1234567,"Train time se nahi aayi, bahut time waste hua. Please jaldi kuch karein.",train time nahi bahut time waste jaldi,561
MORLY/E/2023/2345678,"Mera ticket ka paisa refund nahi hua, bahut din ho gaye hain. Help karein!",ticket paisa refund nahi bahut din,791
MORLY/E/2023/3456789,Train staff ka behaviour bahut kharab tha. Kya aap kuch kar sakte hain?,train staff behaviour bahut kharab sakte,294
MORLY/E/2023/4567890,Platform ki cleanliness bahut kharab hai. Humara travel experience kharab hota hai.,platform cleanliness bahut kharab humara travel experience kharab,168
MORLY/E/2023/5678901,Mera train cancel ho gaya bina notice ke. Bahut pareshani hui. Kya aap kuch karte hain?,train cancel bina notice bahut pareshani karte,1959
MORLY/E/2023/6789012,Payment gateway mein problem aa rahi hai. Ticket book nahi ho raha.,payment gateway problem ticket book nahi,130
MORLY/E/2023/7890123,"Railway staff ko training ki zaroorat hai, unka nyay nahi hai.",railway staff training zaroorat nyay nahi,94
MORLY/E/2023/8901234,Railway station par bahut gande paani ka samasya hai. Isse dekhne ki zaroorat hai.,railway station bahut gande paani samasya isse dekhne zaroorat,519
MORLY/E/2023/9012345,"Train ki timing sahi nahi hai, baar baar delay hota hai. Kya yeh sudhrega?",train timing sahi nahi baar baar delay sudhrega,1785
MORLY/E/2023/0123456,"Mujhe ticket cancellation ka paisa nahi mil raha, kya yeh sahi hai?",ticket cancellation paisa nahi mil sahi,622
MORLY/E/2023/1234567,Staff ka behaviour bilkul kharab hai. Aap kya kuch kar sakte hain?,staff behaviour kharab sakte,1782
MORLY/E/2023/2345678,"Platform par bahut paani bhara hai, jagah nahi hai. Kya kuch sudharenge?",platform bahut paani bhara jagah nahi sudharenge,1691
MORLY/E/2023/3456789,"Mujhe train ka delay report karna hai, bahut takleef ho rahi hai.",train delay report bahut takleef,595
MORLY/E/2023/4567890,"Mera ticket ka paisa refund nahi ho raha hai, kaise mil sakta hai?",ticket paisa refund nahi mil sakta,791
MORLY/E/2023/5678901,"Staff ki training ki zaroorat hai, unka behaviour samasya hai.",staff training zaroorat behaviour samasya,94
MORLY/E/2023/6789012,Station par seating arrangement bahut kharab hai. Sudharo!,station seating arrangement bahut kharab sudharo,156
MORLY/E/2023/7890123,"Train ki seats confirm nahi hui, bahut tension ho rahi hai. Kya kuch kar sakte hain?",train seats confirm nahi bahut tension sakte,11
MORLY/E/2023/8901234,Mujhe apne payment ka confirmation nahi mila. Kya karna padega?,apne payment confirmation nahi mila padega,270
MORLY/E/2023/9012345,Personnel ka attitude nahi mil raha. Kya aap kuch kar sakte hain?,personnel attitude nahi mil sakte,1769
MORLY/E/2023/2345678,"Mujhe train ki timing ke bare mein pata nahi chala, baar baar delay ho raha hai.",train timing bare pata nahi chala baar baar delay,620
MORLY/E/2023/3456789,Mujhe apne ticket ka refund nahi mila. Paisa kab wapas hoga?,apne ticket refund nahi mila paisa wapas hoga,912
MORLY/E/2023/4567890,"Staff ka behavior theek nahi tha, kuch janta ke saath rude the.",staff behavior theek nahi janta saath rude,184
MORLY/E/2023/5678901,"Station ke aas paas sadak kaafi kharab hai, train aate waqt dikkat hoti hai.",station aas paas sadak kharab train waqt dikkat,1791
MORLY/E/2023/6789012,"Train ka seat confirm nahi hua hai, maine to booking ki thi.",train seat confirm nahi booking,408
MORLY/E/2023/7890123,"Mujhe extra charge ka pata nahi chala, paisa kisliye gaya?",extra charge pata nahi chala paisa kisliye,420
MORLY/E/2023/8901234,"Train ke staff ka gussa samajh nahi aa raha, kaise baat karte hain.",train staff gussa samajh nahi baat karte,1560
MORLY/E/2023/9012345,"Platform par safai nahi hoti, kuch bhi nahi dikh raha hai.",platform safai nahi nahi dikh,1845
MORLY/E/2023/0123456,"Train time par nahi aayi, maine bahut wait kiya.",train time nahi bahut wait,1252
MORLY/E/2023/1234560,"Payment gateway par error aa raha hai, ticket nahi mil raha.",payment gateway error ticket nahi mil,130
MORLY/E/2023/2345671,"Kuch staff bahut hi anjaan aur rude hain, unko kya training di ja rahi hai?",staff bahut anjaan rude unko training,21
MORLY/E/2023/3456782,"Station ki facilities bahut bekar hain, washroom bhi clean nahi hai.",station facilities bahut bekar washroom clean nahi,892
MORLY/E/2023/4567893,"Train ka time change ho gaya hai, samay par nahi aata.",train time change samay nahi aata,1826
MORLY/E/2023/5678904,"Maine extra payment kiya hai, mujhe refund chahiye.",extra payment refund chahiye,469
MORLY/E/2023/6789015,"Staff thik se information nahi de rahe, kya training hoti hai unki?",staff thik information nahi training unki,1170
MORLY/E/2023/7890126,"Station par elevators kaam nahi kar rahe, badi dikkat ho rahi hai.",station elevators kaam nahi badi dikkat,52
MORLY/E/2023/8901237,"Train ke platform pe koi announcement nahi ho raha, passengers confuse hain.",train platform announcement nahi passengers confuse,225
MORLY/E/2023/9012348,"Payment ke liye card use karte waqt error aa raha hai, please help.",payment card use karte waqt error,1393
MORLY/E/2023/0012345,"Puri train ka schedule badal gaya hai, koi notice nahi diya! Kaafi dikkat ho rahi hai.",puri train schedule badal notice nahi dikkat,226
MORLY/E/2023/0045678,Meri ticket ki payment deduct hui par confirmation nahi mila. Help karein!,ticket payment deduct confirmation nahi mila,1181
MORLY/E/2023/0078901,Train mein staff ka behavior bilkul acha nahi tha. Kaafi rude the! Kya hota hai?,train staff behavior acha nahi rude,65
MORLY/E/2023/0090123,"Station par bahut ganda hai, toilets bhi saaf nahi hain. Ye kya baat hui?",station bahut ganda toilets saaf nahi baat,242
MORLY/E/2023/0123456,Train baar baar late ho rahi hai. Koi information nahi milti. Bahut pareshani hoti hai.,train baar baar late information nahi milti bahut pareshani,1814
MORLY/E/2023/0145678,Mujhe ticket cancel karne par refund nahi mila. Kahan jaana chahiye?,ticket cancel refund nahi mila jaana chahiye,136
MORLY/E/2023/0167890,Train ke crew ka attitude bilkul theek nahi hai. Baat karne ka tarika galat hai.,train crew attitude theek nahi baat tarika galat,400
MORLY/E/2023/0189012,Platform ki safai bahut kharab hai. Yahan baithna mushkil ho raha hai.,platform safai bahut kharab yahan baithna mushkil,545
MORLY/E/2023/0212345,Train ka timing bilkul galat hai. Koi samajh nahi aa raha ki kya ho raha hai.,train timing galat samajh nahi,517
MORLY/E/2023/0234567,"Meri ticket ke liye payment toh ho gaya, par confirmation nahi aaya! Kya karein?",ticket payment confirmation nahi,462
MORLY/E/2023/0256789,Train ke staff kabhi bhi madad nahi karte. Kabhi bhi samasya ke liye nahi milte.,train staff nahi karte samasya nahi milte,819
MORLY/E/2023/0278901,Railway station ki infrastructure kharab hai. Koi dhyan nahi diya ja raha hai.,railway station infrastructure kharab dhyan nahi,183
MORLY/E/2023/0290123,"Train ke delays bahut zyada ho rahe hain, koi update nahi hai. Help karein!",train delays bahut zyada update nahi,1247
MORLY/E/2023/0312345,Meri payment mein kuch dikat aa rahi hai. Refund nahi aa raha hai!,payment dikat refund nahi,1813
MORLY/E/2023/0334567,Staff kabhi bhi madad nahi karte agar koi travel issue hota hai. Bahut mushkil hota hai.,staff nahi karte agar travel issue bahut mushkil,1776
MORLY/E/2023/0356789,Station ki safai bahut kharab hai. Koi dhyan nahi de raha.,station safai bahut kharab dhyan nahi,241
MORLY/E/2023/0378901,Train mein koi samasya hui toh kisi ne help nahi ki. Bahut bura laga.,train samasya kisi nahi bahut bura laga,119
MORLY/E/2023/0390123,Mujhe ticket ki booking ke liye payment nahi mil rahi. Help karein!,ticket booking payment nahi mil,100
MORLY/E/2023/0412345,Staff ne koi madad nahi ki jab train late hui. Bahut bura laga!,staff nahi jab train late bahut bura laga,684
MORLY/E/2023/0434567,Railway station par bahut gandi halat hai. Koi dhyan nahi hai!,railway station bahut gandi halat dhyan nahi,1294
MORLY/E/2023/4567890,Train ka time schedule bahut hi bigad gaya hai. Daily commute karne mein mushkil hoti hai. Please kuch karein.,train time schedule bahut bigad daily commute mushkil,493
MORLY/E/2023/9876543,Mujhe ticket ka paisa wapas nahi mila hai. Kya hota hai aisa? Sab kuch theek se hona chahiye.,ticket paisa wapas nahi mila aisa theek chahiye,32
MORLY/E/2023/1238901,Railway station pe bahut gandi halat hai. Safai ka dhyan nahi diya ja raha hai. Please kuch karein.,railway station bahut gandi halat safai dhyan nahi,1294
MORLY/E/2023/7891234,Train staff bahut rude hain. Baatein samajhne ke bajaye gussa karte hain. Kindly improve this.,train staff bahut rude baatein samajhne bajaye gussa karte kindly improve,500
MORLY/E/2023/2345678,Trains baar baar late ho rahi hain. Kya aap kuch kar sakte hain iske liye?,trains baar baar late sakte iske,553
MORLY/E/2023/8901234,Mujhe refund nahi mila hai jo ki main expect kar rahi thi. Iske liye kuch karein.,refund nahi mila main expect iske,1767
MORLY/E/2023/1234567,Station pe bahut zyada bheed hai aur facilities bhi nahi hain. Aap log kuch karein.,station bahut zyada bheed facilities nahi log,7
MORLY/E/2023/5678901,Kabhi kabhi staff ki taraf se service itni bekar hoti hai ki main hairaan ho jaati hoon. Iska kya kar rahe hain?,staff taraf service itni bekar main hairaan jaati,1164
MORLY/E/2023/8901235,Train ki timing kaafi badal gayi hai aur humein pata nahi chalta. Iska kya solution hai?,train timing badal pata nahi chalta solution,659
MORLY/E/2023/4567892,Mujhe jo payment milna tha wo ab tak nahi aaya. Kab aayega?,payment milna nahi aayega,1679
MORLY/E/2023/6789012,"Station ki facilities poor hain. Aapko kuch karna chahiye, warna kabhi bhi accident ho sakta hai.",station facilities poor aapko chahiye warna accident sakta,670
MORLY/E/2023/7890123,Kabhi kabhi staff se baat karte waqt mujhe aisa lagta hai jaise wo sun nahi rahe hain. Yeh galat hai!,staff baat karte waqt aisa lagta jaise sun nahi galat,1433
MORLY/E/2023/8901236,Train ki service bahut bekaar hai. Train time par nahi aati. Iske liye kya kiya ja raha hai?,train service bahut bekaar train time nahi aati iske,1166
MORLY/E/2023/1234569,Mera ticket ka refund ab tak nahi aaya hai. Kya aap is par check kar sakte hain?,ticket refund nahi check sakte,1268
MORLY/E/2023/2345670,Station ki cleanliness improve karni chahiye. Gande paani ki problem hai. Jaldi kuch karein.,station cleanliness improve karni chahiye gande paani problem jaldi,1304
MORLY/E/2023/3456781,Staff ki training bahut zaroori hai. Unhe customer service ki training chahiye.,staff training bahut zaroori customer service training chahiye,343
MORLY/E/2023/4567898,Trains baar baar cancel ho rahi hain. Is vishay par kaam hona chahiye.,trains baar baar cancel vishay kaam chahiye,429
MORLY/E/2023/0123457,Payment process mein delays ho rahe hain. Kya kuch kiya ja raha hai?,payment process delays,391
MORLY/E/2023/6789014,Railway station pe bahut hi kharaab infrastructure hai. Is par kuch dhyan dena padega.,railway station bahut kharaab infrastructure dhyan dena padega,396
MORLY/E/2023/3456789,"Train ka schedule bahut hi bekar hai, kya aap is par kuch nahi kar sakte?",train schedule bahut bekar nahi sakte,656
MORLY/E/2023/4567890,"Mujhe payment refund nahi mila hai, please help!",payment refund nahi mila,306
MORLY/E/2023/5678901,Train ke staff ne mujhe achhi tarah se nahi samjha. Yeh sahi nahi hai.,train staff achhi tarah nahi samjha sahi nahi,1623
MORLY/E/2023/6789012,"Railway station par cleanliness bahut kharab hai, please kuch kijiye.",railway station cleanliness bahut kharab kijiye,362
MORLY/E/2023/7890123,"Meri train baar baar late ho rahi hai, kuch nahi ho raha!",train baar baar late nahi,206
MORLY/E/2023/8901234,"Mujhe ticket ka paisa nahi mila, kya aap madad kar sakte hain?",ticket paisa nahi mila sakte,215
MORLY/E/2023/9012345,"Train ke conductor ne bahut bekar service di, mujhe accha nahi laga.",train conductor bahut bekar service accha nahi laga,1616
MORLY/E/2023/0123456,"Platform par bahut gande paani hai, please kuch kijiye.",platform bahut gande paani kijiye,195
MORLY/E/2023/1234567,"Meri train khud hi ruk gayi, mujhe samajh nahi aaya kyun.",train khud ruk samajh nahi,1509
MORLY/E/2023/2345678,Ticket purchase ka paisa mere account mein nahi aaya hai.,ticket purchase paisa account nahi,808
MORLY/E/2023/3456789,"Mujhe staff ka behavior bahut bekar laga, please kuch kijiye.",staff behavior bahut bekar laga kijiye,301
MORLY/E/2023/4567890,"Railway station ke bahar bahut traffic hai, kuch nahi ho raha.",railway station bahar bahut traffic nahi,549
MORLY/E/2023/5678901,"Trains ki timing bahut bekar hai, kuch kijiye.",trains timing bahut bekar kijiye,175
MORLY/E/2023/6789012,"Mujhe ticket ka paisa wapas nahi mila hai, help please!",ticket paisa wapas nahi mila,32
MORLY/E/2023/7890123,"Staff ki training bahut zaroori hai, service bahut achhi nahi hai.",staff training bahut zaroori service bahut achhi nahi,521
MORLY/E/2023/8901234,"Railway station ki building kafi purani hai, please kuch karein.",railway station building kafi purani,1764
MORLY/E/2023/9012345,"Train ki frequency bahut kam hai, please kuch kariye.",train frequency bahut kam kariye,424
MORLY/E/2023/0123456,"Mujhe ticket ka paise nahi mila, please help!",ticket paise nahi mila,108
MORLY/E/2023/1234568,"Mujhe staff ka behavior theek nahi laga, please kuch kijiye.",staff behavior theek nahi laga kijiye,301
MORLY/E/2023/1234567,Train kaafi late ho rahi hai. Iski wajah se kaafi pareshaani ho rahi hai.,train late iski wajah pareshaani,335
MORLY/E/2023/2345678,Mere payment ka refund nahi hua hai. Bahut din ho gaye.,payment refund nahi bahut din,570
MORLY/E/2023/3456789,Train staff ne achha behave nahi kiya. Unka attitude theek nahi tha.,train staff achha behave nahi attitude theek nahi,851
MORLY/E/2023/4567890,Chennai station ki facilities bahut kharab hai. Toilet bhi saaf nahi hai.,chennai station facilities bahut kharab toilet saaf nahi,1421
MORLY/E/2023/5678901,Train ka time schedule bilkul sahi nahi hai. Bahut delay hota hai.,train time schedule sahi nahi bahut delay,1698
MORLY/E/2023/6789012,Payment karne par bhi ticket nahi mila hai. Bahut pareshaani ho rahi hai.,payment ticket nahi mila bahut pareshaani,470
MORLY/E/2023/7890123,Staff bahut rude hai aur koi madad nahi karte. Bahut bura experience raha.,staff bahut rude nahi karte bahut bura experience,222
MORLY/E/2023/8901234,Platform kaafi ganda hai aur infrastructure acha nahi hai. Jaldi sudhara jaye.,platform ganda infrastructure acha nahi jaldi sudhara jaye,1753
MORLY/E/2023/9012345,Train ka service bilkul theek nahi hai. Bar-bar problems hoti hai.,train service theek nahi barbar problems,609
MORLY/E/2023/0123456,Ticket purchase ke liye payment nahi ho raha hai. Bahut dikkat ho rahi hai.,ticket purchase payment nahi bahut dikkat,45
MORLY/E/2023/1234568,"Staff ne help nahi ki, mujhe bahut problem hui. Unhe training ki zarurat hai.",staff nahi bahut problem training zarurat,234
MORLY/E/2023/2345679,Station ki safai bilkul nahi ho rahi hai. Bahut badbu hai.,station safai nahi bahut badbu,682
MORLY/E/2023/3456780,Train operation bahut kharab hai. Bilkul time par nahi aati.,train operation bahut kharab time nahi aati,309
MORLY/E/2023/4567891,"Payment ka issue aa raha hai. Refund nahi ho raha hai, bahut samasya ho rahi hai.",payment issue refund nahi bahut samasya,531
MORLY/E/2023/5678902,Personnel ne meri madad nahi ki. Unhe training ki zarurat hai.,personnel nahi training zarurat,113
MORLY/E/2023/6789013,"Station kaafi ganda hai, safai nahi hai. Cleaning staff ko sudharne ki zarurat hai.",station ganda safai nahi cleaning staff sudharne zarurat,1687
MORLY/E/2023/7890124,"Train kaafi der se aayi, isse kaafi dikkat hui. Kripya ispar dhyan de.",train der isse dikkat kripya ispar dhyan,1815
MORLY/E/2023/8901235,"Payment nahi ho raha hai, ticket nahi mil raha. Bahut pareshani ho rahi hai.",payment nahi ticket nahi mil bahut pareshani,867
MORLY/E/2023/9012346,"Staff ne meri madad nahi ki, mujhe bahut pareshani hui. Woh rude the.",staff nahi bahut pareshani rude,534
MORLY/E/2023/9876543,Train ka time bahut der se aata hai. Logon ko kaafi dikkat hoti hai. Please kuch karein.,train time bahut der aata logon dikkat,1395
MORLY/E/2023/1234567,Mere payment ka confirmation nahi aa raha hai. Maine 3 din pehle book kiya tha.,payment confirmation nahi din pehle book,471
MORLY/E/2023/2345678,Station staff bahut rude hote hain. Aapko unhe training deni chahiye.,station staff bahut rude aapko training deni chahiye,212
MORLY/E/2023/3456789,Platform bahut kharab hai. Safety ke liye kuch karein.,platform bahut kharab safety,575
MORLY/E/2023/4567890,Train ki timing bar-bar change hoti hai. Isse bahut pareshani hoti hai.,train timing barbar change isse bahut pareshani,1225
MORLY/E/2023/5678901,Mujhe refund nahi mila. Galat charge hua hai. Help karein.,refund nahi mila galat charge,700
MORLY/E/2023/6789012,Kuch staff ke behavior se khush nahi hoon. Unka attitude thoda badalna chahiye.,staff behavior khush nahi attitude thoda badalna chahiye,1957
MORLY/E/2023/7890123,Roads to station kharab hain. Travel karte waqt dikkat hoti hai.,roads station kharab travel karte waqt dikkat,1893
MORLY/E/2023/8901234,Seat allocation system sahi nahi hai. Mere seat ka allocation galat hua hai.,seat allocation system sahi nahi seat allocation galat,2026
MORLY/E/2023/9012345,"Credit card se payment kiya, lekin koi confirmation nahi mila.",credit card payment confirmation nahi mila,307
MORLY/E/2023/0123456,Kya staff thoda friendly nahi ho sakte? Aise baat karte hain jaise hum unke dushman hain.,staff thoda friendly nahi sakte aise baat karte jaise unke dushman,1517
MORLY/E/2023/1234568,"Station par safai nahi hoti, bahut gandh hoti hai.",station safai nahi bahut gandh,514
MORLY/E/2023/2345679,Train schedule reliable nahi hai. Hum sab pareshan hain.,train schedule reliable nahi pareshan,461
MORLY/E/2023/3456790,Mera payment process nahi ho raha hai. Please help.,payment process nahi,117
MORLY/E/2023/4567891,Staff bahut akele lag rahe hain. Unko training ki zarurat hai.,staff bahut akele lag unko training zarurat,21
MORLY/E/2023/5678902,Train station ka entrance bahut kharab hai. Jaldi theek karein.,train station entrance bahut kharab jaldi theek,146
MORLY/E/2023/6789013,Train ki safety measures check karna chahiye. Bahut risk hai.,train safety measures check chahiye bahut risk,1824
MORLY/E/2023/7890124,Mujhe payment receive nahi hui. Bahut din ho gaye.,payment receive nahi bahut din,356
MORLY/E/2023/8901235,Staff ko training ki zaroorat hai. Bahut kamzor hain wo.,staff training zaroorat bahut kamzor,94
MORLY/E/2023/9012346,Railway station par toilets bahut gande hain. Unka dhyaan rakhein.,railway station toilets bahut gande dhyaan rakhein,744
MORLY/E/2023/2345678,"Mujhe ticket ka cancellation ka paisa nahi mila, please jaldi karen.",ticket cancellation paisa nahi mila jaldi karen,622
MORLY/E/2023/3456789,"Train time par nahi aayi, bahut pareshani hui, kya yeh sab hamesha hota hai?",train time nahi bahut pareshani hamesha,150
MORLY/E/2023/4567890,"Railway station ki safai bahut kharab hai, please kuch karen.",railway station safai bahut kharab karen,1062
MORLY/E/2023/5678901,"Train mein staff ki kami thi, service bahut kharab thi.",train staff kami service bahut kharab,333
MORLY/E/2023/6789012,"Mujhe payment ka confirmation nahi mila, please check karein.",payment confirmation nahi mila check,1214
MORLY/E/2023/7890123,"Train baar baar late hoti hai, kya koi solution hai?",train baar baar late solution,206
MORLY/E/2023/8901234,"Station par water aur toilet ki suvidha nahi hai, please kuch karein.",station water toilet suvidha nahi,1548
MORLY/E/2023/9012345,"Staff ko train mein baithne ki samasya hai, please kuch karein.",staff train baithne samasya,1974
MORLY/E/2023/0123456,Payment nahi ho raha hai jab mai online booking karta hoon.,payment nahi jab mai online booking karta,1840
MORLY/E/2023/1234567,"Mujhe train service mein bahut samasya ho rahi hai, kya aap madad kar sakte hain?",train service bahut samasya sakte,811
MORLY/E/2023/2345679,"Station par parking ki bahut kami hai, aap log is par dhyan dein.",station parking bahut kami log dhyan dein,1902
MORLY/E/2023/3456780,"Station par staff ka behavior bahut kharab hai, please kuch karein.",station staff behavior bahut kharab,1254
MORLY/E/2023/4567891,Mujhe paisa nahi mil raha hai jab mai ticket book karta hoon.,paisa nahi mil jab mai ticket book karta,1595
MORLY/E/2023/5678902,"Train baar baar cancel ho rahi hai, kya kuch kiya ja sakta hai?",train baar baar cancel sakta,429
MORLY/E/2023/6789013,"Platform bahut kharab hai, safety issues hai, please dekhein.",platform bahut kharab safety issues dekhein,575
MORLY/E/2023/7890124,"Ticket checkers ka behavior theek nahi hai, please kuch karein.",ticket checkers behavior theek nahi,249
MORLY/E/2023/8901235,Mujhe paisa nahi mila jab maine ticket book kiya.,paisa nahi mila jab ticket book,579
MORLY/E/2023/9012346,"Train ka schedule baar baar change ho raha hai, please iski jaanch karen.",train schedule baar baar change iski jaanch karen,776
MORLY/E/2023/0123467,"Platform par safety measures nahi hain, please kuch karein.",platform safety measures nahi,350
MORLY/E/2023/7654321,"Train punctuality is a big issue. Mera train har bar late hota hai, is par kuch kiya jaye.",train punctuality big issue train har bar late jaye,1559
MORLY/E/2023/6543210,Mujhe refund nahi mila hai for my ticket. PNR number XXXXXX ki help chahiye.,refund nahi mila ticket pnr number xxxxxx chahiye,1147
MORLY/E/2023/5432109,"Station par cleanliness bahut kharab hai, is par kuch action lena chahiye.",station cleanliness bahut kharab action lena chahiye,177
MORLY/E/2023/4321098,"Customer service staff rude hai, aur help nahi karte. Yeh unacceptable hai!",customer service staff rude nahi karte unacceptable,490
MORLY/E/2023/3210987,Train ka schedule bahut confusing hai. Samay par nahi milta hai.,train schedule bahut confusing samay nahi milta,589
MORLY/E/2023/2109876,Mujhe payment confirmation nahi mila hai. PNR XXXXXX se madad chahiye.,payment confirmation nahi mila pnr xxxxxx chahiye,99
MORLY/E/2023/1098765,Foot overbridge bahut kharab hai. Bhi bhari hai aur repair ki zarurat hai.,foot overbridge bahut kharab bhari repair zarurat,1204
MORLY/E/2023/0987654,"Staff ki training behtar honi chahiye, kyunki unka response bahut slow hai.",staff training behtar honi chahiye kyunki response bahut slow,411
MORLY/E/2023/9876543,"Train ka timing sahi nahi hai, seat allocation bhi galat hota hai.",train timing sahi nahi seat allocation galat,179
MORLY/E/2023/8765432,Payment gateway kaam nahi kar raha. Mera ticket confirm nahi ho raha hai.,payment gateway kaam nahi ticket confirm nahi,1897
MORLY/E/2023/2345680,"Platform par chairs ki kami hai, logo ko baithne mein dikkat hoti hai.",platform chairs kami logo baithne dikkat,1249
MORLY/E/2023/4567893,"Operator ka behavior bahut bekar hai, unhe training ki zaroorat hai.",operator behavior bahut bekar training zaroorat,34
MORLY/E/2023/6789014,Train ka reservation process confusing hai. Mera ticket cancel ho gaya.,train reservation process confusing ticket cancel,1881
MORLY/E/2023/7890123,"Mujhe billing issue ka samna hai, account number XXXXXX ka kuch pata nahi chalta.",billing issue samna account number xxxxxx pata nahi chalta,1578
MORLY/E/2023/8901234,Station par water supply nahi hai. Bahut pareshani hoti hai.,station water supply nahi bahut pareshani,40
MORLY/E/2023/9012346,"Staff ko polite hone ki zarurat hai, unka behavior bahut kharab hai.",staff polite hone zarurat behavior bahut kharab,1637
MORLY/E/2023/2345678,"Train cancellations ka issue hai, dhyan dene ki zarurat hai.",train cancellations issue dhyan dene zarurat,1919
MORLY/E/2023/4567890,"Mera payment pending hai, please dekhiye PNR XXXXXX.",payment pending dekhiye pnr xxxxxx,482
MORLY/E/2023/6789010,"Railway track par kaam nahi ho raha hai, bahut hi kharab hai is par.",railway track kaam nahi bahut kharab,1403
MORLY/E/2023/8901235,"Lack of coordination between staff, mujhe help nahi mil rahi hai.",lack coordination staff nahi mil,729
MORLY/E/2023/0123458,"Train service bahut bekar hoti ja rahi hai, please kuch karein.",train service bahut bekar,349
MORLY/E/2023/1234567,"Train ki timing bahut late ho rahi hai, please is par kuch kijiye.",train timing bahut late kijiye,205
MORLY/E/2023/2345678,"Platform par safai ka dhyan nahi diya ja raha hai, bahut gandh hai.",platform safai dhyan nahi bahut gandh,2031
MORLY/E/2023/3456789,"Mujhe ticket ka refund nahi mila, wallet mein paisa nahi dikh raha hai.",ticket refund nahi mila wallet paisa nahi dikh,1744
MORLY/E/2023/4567890,"Station staff thik se nahi baat karte hain, bahut rude hain.",station staff thik nahi baat karte bahut rude,213
MORLY/E/2023/5678901,"Train ka schedule baar baar badal raha hai, bahut pareshani ho rahi hai.",train schedule baar baar badal bahut pareshani,399
MORLY/E/2023/6789012,"Railway station par washroom ki safai bahut kharab hai, gandi halat hai.",railway station washroom safai bahut kharab gandi halat,1012
MORLY/E/2023/7890123,"Mera ticket cancel hone par refund nahi mila, bahut samasya ho rahi hai.",ticket cancel hone refund nahi mila bahut samasya,886
MORLY/E/2023/8901234,"Train mein staff rude hai, unse baat karne mein dikkat aa rahi hai.",train staff rude unse baat dikkat,658
MORLY/E/2023/9012345,"Train ki service bahut bekar hai, bar bar delays hote hain.",train service bahut bekar bar bar delays,803
MORLY/E/2023/0123456,"Railway station par parking bahut kharab hai, jagah nahi mil rahi.",railway station parking bahut kharab jagah nahi mil,419
MORLY/E/2023/1234568,"Mujhe online ticket booking mein dikkat aa rahi hai, payment nahi ho raha.",online ticket booking dikkat payment nahi,448
MORLY/E/2023/2345679,"Railway staff se sampark karne mein dikkat ho rahi hai, koi help nahi mil raha.",railway staff sampark dikkat nahi mil,1086
MORLY/E/2023/3456781,"Train ka announcement time par nahi hota, bahut samasya hoti hai.",train announcement time nahi bahut samasya,1140
MORLY/E/2023/4567892,"Station ka infrastructure bahut purana ho gaya hai, kuch updates ki zarurat hai.",station infrastructure bahut purana updates zarurat,457
MORLY/E/2023/5678903,"Online payment mein baar baar error aa raha hai, help chahiye.",online payment baar baar error chahiye,954
MORLY/E/2023/6789014,"Staff ki training bahut zaruri hai, unhe ache se handle nahi kar rahe.",staff training bahut zaruri ache handle nahi,686
MORLY/E/2023/7890125,"Train ka service bahut bekar ho gaya hai, bar bar delays hote hain.",train service bahut bekar bar bar delays,803
MORLY/E/2023/8901236,"Railway station par bahut adhik bheed hoti hai, kuch vyavastha karen.",railway station bahut adhik bheed vyavastha karen,255
MORLY/E/2023/9012347,"Online booking mein payment problem aa raha hai, madad chahiye.",online booking payment problem chahiye,1016
MORLY/E/2023/0123458,Staff ki training bahut kamzor hai. Unhe ache se samjhaya nahi ja raha.,staff training bahut kamzor ache samjhaya nahi,373
MORLY/E/2023/1234569,"Train mein AC kaam nahi kar raha, bahut garmi ho rahi hai.",train kaam nahi bahut garmi,121
MORLY/E/2023/2345670,"Station par safety measures nahi hain, kuch action lene ki zarurat hai.",station safety measures nahi action lene zarurat,1523
MORLY/E/2023/1234567,Train ka schedule bahut hi kharab hai. Pichle mahine bhi delay hua tha. Kya ho raha hai?,train schedule bahut kharab pichle mahine delay,231
MORLY/E/2023/2345678,Mujhe payment refund nahi mila. Kya aap meri help kar sakte hain? Mera PNR hai: X0X5X.,payment refund nahi mila sakte pnr xxx,357
MORLY/E/2023/3456789,Train staff bahut rude hain aur unka behavior bilkul sahi nahi hai. Kindly dekhiye.,train staff bahut rude behavior sahi nahi kindly dekhiye,667
MORLY/E/2023/4567890,Platform par safai nahi ho rahi hai. Bahut ganda ho gaya hai. Iska kya hoga?,platform safai nahi bahut ganda hoga,375
MORLY/E/2023/5678901,Train time par nahi aayi aur main meeting ke liye late ho gaya. Yeh baar baar ho raha hai.,train time nahi main meeting late baar baar,91
