registration_no,cleaned_text,language
MORLY/E/2023/2109876,train baithe waqt announcement nahi bhut samasya,english
MORLY/E/2023/1098765,booking samay nahi pata chala paisa wapas nahi,english
MORLY/E/2023/6543210,station signboard nahi logon dikkat,english
MORLY/E/2023/7654321,train staff samasya nahi samajh,english
MORLY/E/2023/6543210,train schedule galat baar baar delay isko thik,english
MORLY/E/2023/7654321,payment problem baar baar transaction fail,english
MORLY/E/2023/8765432,station staff bahut rude unse baat mushkil,english
MORLY/E/2023/9876543,platform bahut gandh safai thik nahi,english
MORLY/E/2023/1234560,train timing barbar change samay pahunchna,english
MORLY/E/2023/2345678,transaction card nahi chal main karun,english
MORLY/E/2023/3456789,station staff training zarurat unse baatein mushkil,english
MORLY/E/2023/4567890,station toilet safai nahi bahut ganda,english
MORLY/E/2023/5678901,train cleaning bahut bekar safai dhyan,english
MORLY/E/2023/6789012,payment baar baar error,english
MORLY/E/2023/7654322,staff apne kaam training zarurat,english
MORLY/E/2023/8765433,railway station parking sahi nahi samasya,english
MORLY/E/2023/9876544,train time nahi bahut problem,english
MORLY/E/2023/1234569,payment nahi baar baar error,english
MORLY/E/2023/2345670,station kaam staff bahut laaparwah isko theek,english
MORLY/E/2023/3456781,station gaddhe bade bade gaddhe mat chhodo,english
MORLY/E/2023/4567892,train bahut late samay nahi pahunchna,english
MORLY/E/2023/6789014,payment baarbaar issue,english
MORLY/E/2023/5678901,train schedule hamesha late aaj ghante late kijiye,english
MORLY/E/2023/1234568,ticket refund nahi mila kripya,english
MORLY/E/2023/2345670,station staff kami kisi nahi jab zarurat,english
MORLY/E/2023/3456781,platform bahut kharab safai nahi chhalne darr sakte,english
MORLY/E/2023/4567892,train time nahi pata chalta kahi information nahi sakte,english
MORLY/E/2023/5678903,online payment fail paisa nahi wapas,english
MORLY/E/2023/6789014,station staff baat dikkat log rude,english
MORLY/E/2023/7890125,platform bahut gande khud safai pad,english
MORLY/E/2023/8901236,train timings baare clarity nahi ispar kijiye,english
MORLY/E/2023/9012347,ticket payment process nahi bahut takleef,english
MORLY/E/2023/0123459,station staff samajh nahi aata log nahi karte theek,english
MORLY/E/2023/1234560,station toilets bahut gande unki safai nahi sakte,english
MORLY/E/2023/2345671,train frequency bahut kam bahut samay lag ispar kijiye,english
MORLY/E/2023/3456782,payment nahi padega bahut pareshaan,english
MORLY/E/2023/4567893,staff logon behavior theek nahi nahi karta,english
MORLY/E/2023/5678904,toilets safai bahut kharab yahan aane takleef kijiye,english
MORLY/E/2023/6789015,train service bekar bahut samay lagta information nahi milti,english
MORLY/E/2023/7890126,payment pending response nahi bahut pareshaan,english
MORLY/E/2023/2345678,train timing hamesha late pichle mahine train ghante late,english
MORLY/E/2023/3456789,ticket pay paisa abhi nahi wapas pnr xxxxxx,english
MORLY/E/2023/4567890,platform bahut ganda safety issues dhyan dena chahiye,english
MORLY/E/2023/5678901,railway staff customers baat rude ispar chahiye,english
MORLY/E/2023/6789012,train service bahut bekar main baar baar complain nahi,english
MORLY/E/2023/7890123,ticket cancel refund nahi sakte,english
MORLY/E/2023/8901234,station infrastructure itni purani chahiye,english
MORLY/E/2023/9012345,staff member rude bola nahi chahiye customer service dhyan dena chahiye,english
MORLY/E/2023/0123456,train coach clean nahi bahut bekar achha chahiye,english
MORLY/E/2023/1234567,pnr xxxxxx refund nahi mila samadhan,english
MORLY/E/2023/2345679,railway station cleaning facilities bahut bekar chahiye,english
MORLY/E/2023/3456780,staff behavior thoda rude chahiye,english
MORLY/E/2023/4567891,train seats reserve problem padega,english
MORLY/E/2023/5678902,payment issue solution,english
MORLY/E/2023/6789013,railway station facilities kam dhyan dena chahiye,english
MORLY/E/2023/7890124,dekha staff customer jaane nahi dete dhyan chahiye,english
MORLY/E/2023/8901235,train frequency bahut kam chahiye,english
MORLY/E/2023/9012346,ticket book payment nahi sakta,english
MORLY/E/2023/7654321,train baar baar late train chhutti yaar,english
MORLY/E/2023/8765432,refund paisa nahi jaldi,english
MORLY/E/2023/9876543,train staff behavior bahut kharab sabko rude,english
MORLY/E/2023/6543210,railway station safai bahut kharab kaam chahiye,english
MORLY/E/2023/5432109,apne ticket pnr status nahi mil,english
MORLY/E/2023/2109876,baar payment pada baar refund nahi,english
MORLY/E/2023/3210987,conductor ticket nahi bahut galat,english
MORLY/E/2023/4567890,station washroom bahut ganda safai karwaiye,english
MORLY/E/2023/5678901,train timing baar baar change samasya,english
MORLY/E/2023/8901234,ticket book paise nahi mile,english
MORLY/E/2023/0123456,train staff bahut rude bahut gussa aata,english
MORLY/E/2023/3456789,train platform bhoot badi samasya bahut gandi sudhar,english
MORLY/E/2023/4567891,trains cancel bina kisi wajah galat,english
MORLY/E/2023/5678902,refund nahi mila theek,english
MORLY/E/2023/6789013,train staff training nahi samajhna chahiye,english
MORLY/E/2023/7890123,station lift kharab bahut mushkil chadhne,english
MORLY/E/2023/8901235,train timing samasya suljhaegi bahut dikkat,english
MORLY/E/2023/1234567,payment receive nahi,english
MORLY/E/2023/7890124,staff bahut problem unse baat karni pasand nahi,english
MORLY/E/2023/3456780,station bahar badi gandi bahut dikkat clean,english
MORLY/E/2023/5678903,train frequency bahut kam isko badha sakte,english
MORLY/E/2023/6789012,payment nahi jaldi,english
MORLY/E/2023/7890125,staff nahi mil log busy,english
MORLY/E/2023/8901237,jodhpur station platform bahut kharab sudhar,english
MORLY/E/2023/3456781,train performance accha nahi thoda behtar kariye,english
MORLY/E/2023/2345678,platform safai nahi bhut ganda lagta,english
MORLY/E/2023/3456789,ticket paisa refund nahi,english
MORLY/E/2023/4567890,train timing sahi nahi delay baar baar,english
MORLY/E/2023/5678901,staff behavior acha nahi rude bolte,english
MORLY/E/2023/6789012,station building dikkat padega,english
MORLY/E/2023/7890123,account paise ghote bina kisi reason,english
MORLY/E/2023/8901234,trains baar baar cancel,english
MORLY/E/2023/9012345,train staff behavior samasya unse baat nahi,english
MORLY/E/2023/0123456,railway stations basic facilities nahi bahut mushkil,english
MORLY/E/2023/1234567,ticket booking payment issue,english
MORLY/E/2023/2345679,train schedule sahi nahi padega,english
MORLY/E/2023/3456780,train staff samasya dete sudharna padega,english
MORLY/E/2023/4567891,station cleanliness bahut kharab nahi yahan,english
MORLY/E/2023/5678902,refund nahi problem,english
MORLY/E/2023/6789013,train operation kai baar dikkat nahi,english
MORLY/E/2023/7890124,railway staff behavior theek nahi sudhar padega,english
MORLY/E/2023/8901235,station infrastructure bahut purani badalna padega,english
MORLY/E/2023/9012346,refund process samasya dikha assist,english
MORLY/E/2023/0123457,train delay baar baar bhut parishani,english
MORLY/E/2023/1234568,staff behavior acha nahi padega,english
MORLY/E/2023/2345670,station facilities nahi zaroori sudharna,english
MORLY/E/2023/3456781,payment nahi issue,english
MORLY/E/2023/1234567,train time change hone information nahi mili wajah problem,english
MORLY/E/2023/2345678,ticket payment confirmation nahi mila bahut pareshaan,english
MORLY/E/2023/3456789,platform safai nahi bahut ganda,english
MORLY/E/2023/4567890,railway staff bura bhala kaha unki training nahi,english
MORLY/E/2023/5678901,train der information nahi,english
MORLY/E/2023/6789012,mainne ticket cancel refund nahi mila samasya,english
MORLY/E/2023/7890123,station washroom bahut gande safai nahi,english
MORLY/E/2023/8901234,railway personnel rude behavior dikhaya bahut bura laga,english
MORLY/E/2023/9012345,train timing barabar nahi bar bar der,english
MORLY/E/2023/0123456,dus baar payment ticket nahi mila karun,english
MORLY/E/2023/1234568,station lift kaam nahi bahut dikkat,english
MORLY/E/2023/2345679,staff nahi jab zarurat bahut naraz,english
MORLY/E/2023/3456780,train khana nahi bahut der khatam,english
MORLY/E/2023/4567891,mainne ticket book amount nahi deduct problem,english
MORLY/E/2023/5678902,station parking facility nahi bahut pareshaani,english
MORLY/E/2023/6789013,railway staff nahi mili jab zaroorat bhut bura laga,english
MORLY/E/2023/7890124,train schedule barabar nahi baar baar der,english
MORLY/E/2023/8901235,refund nahi mila ticket cancel samasya,english
MORLY/E/2023/9012346,railway station aas paas gande paani problem bahut takleef,english
MORLY/E/2023/6543210,train timing sahi nahi iski wajah main hamesha late,english
MORLY/E/2023/7654321,ticket paisa wapas nahi,english
MORLY/E/2023/8765432,station infrastructure bahut kharab dekhiye,english
MORLY/E/2023/9876543,staff service behad kharab chahiye,english
MORLY/E/2023/1597532,train service sahi nahi suna bahut delay,english
MORLY/E/2023/3571598,refund nahi jaldi,english
MORLY/E/2023/7539510,platform bahut ghusara kaam yaar,english
MORLY/E/2023/1597534,train staff bahut rude sakta,english
MORLY/E/2023/2468101,train schedule bahut kharab bahut late,english
MORLY/E/2023/7890123,debit card paisa kaat ticket nahi,english
MORLY/E/2023/2345678,railway station safai bahut kharab sakte,english
MORLY/E/2023/3456789,railway staff training zaroori theek kaam nahi karte,english
MORLY/E/2023/4567890,train timing bahut dikkat time nahi aati,english
MORLY/E/2023/5678901,ticket refund process nahi,english
MORLY/E/2023/6789012,bahut gande toilet station dekhiye,english
MORLY/E/2023/7890123,staff achha behavior nahi samjhao,english
MORLY/E/2023/8901234,train bahut late sakte,english
MORLY/E/2023/9012345,ticket paisa nahi mila dekhiye,english
MORLY/E/2023/0123456,platform bahut kharab kaam,english
MORLY/E/2023/1234567,train timing bahut late pichle ghante wait,english
MORLY/E/2023/2345678,ticket payment confirmation nahi account number xxxxxx,english
MORLY/E/2023/3456789,station staff behavior bahut behtar chahiye unhone rude way treat,english
MORLY/E/2023/4567890,platform bahut gande paani stagnation passengers danger,english
MORLY/E/2023/5678901,train announcement nahi suna bahut confusion,english
MORLY/E/2023/6789012,refund nahi mila jab cancellation account xxxxxx,english
MORLY/E/2023/7890123,train staff saath bura vyavhaar training zarurat,english
MORLY/E/2023/8901234,station toilets kharab use nahi sakta,english
MORLY/E/2023/9012345,train seat nahi mila jab booking bahut pareshani,english
MORLY/E/2023/0123456,ticket cancel refund nahi mila account xxxxxx,english
MORLY/E/2023/1234501,staff behavior theek nahi kripya inhe training deni chahiye,english
MORLY/E/2023/2345602,platform safai bahut zaroori kyunki bahut ganda,english
MORLY/E/2023/3456703,train schedule baarbaar change samajh nahi aata,english
MORLY/E/2023/4567804,ticket booking baad payment nahi bahut pareshani,english
MORLY/E/2023/5678905,train staff accha vyavhaar nahi bura laga,english
MORLY/E/2023/6789016,platform gande paani stagnation bahut dikkat,english
MORLY/E/2023/7890127,train jaana train nahi bahut pareshani,english
MORLY/E/2023/8901238,online payment confirmation nahi account xxxxxx,english
MORLY/E/2023/9012349,staff response bekar training zarurat,english
MORLY/E/2023/0123470,platform safai bahut kharab turant dhyan dena zaroori,english
MORLY/E/2023/1234567,train pahunchne time hamesha late baar khud baatein aaye,english
MORLY/E/2023/2345678,ticket refund nahi mila bahut samay karun,english
MORLY/E/2023/3456789,staff behavior theek nahi unse baat rude,english
MORLY/E/2023/4567890,station facilities bahut kharab washroom waiting area clean nahi,english
MORLY/E/2023/5678901,train schedule sabse bekar samay nahi aata ispar dhyan jaye,english
MORLY/E/2023/6789012,online payment dikkat sakte,english
MORLY/E/2023/7890123,staff training zarurat behavior bahut kharab,english
MORLY/E/2023/8901234,platform bahut kharab paani bhara rehta bahut gandi baat,english
MORLY/E/2023/9012345,train time frequency dono badal dijiye bahut dikkat,english
MORLY/E/2023/0123456,online payment process dikkat,english
MORLY/E/2023/1234568,train staff behavior accha nahi improve kariye,english
MORLY/E/2023/2345679,railway stations toilets bahut gande isse sudharna chahiye,english
MORLY/E/2023/3456780,train timing bahut problematic ispar dhyan dijiye,english
MORLY/E/2023/4567891,ticket refund process samajh nahi,english
MORLY/E/2023/5678902,staff training kami train zaroori,english
MORLY/E/2023/6789013,station safai nahi isse darshak dikkat,english
MORLY/E/2023/7890124,train schedule samay nahi aasha bahut behtar chahiye,english
MORLY/E/2023/8901235,ticket payment nahi mil jaldi,english
MORLY/E/2023/9012346,staff training kami dhyan dena zaroori,english
MORLY/E/2023/0123457,stations gande washrooms facilities bahut dhyan nahi jata,english
MORLY/E/2023/1234569,train punctuality nahi bahut bura,english
MORLY/E/2023/2345670,refund process complicated isay asaan,english
MORLY/E/2023/3456781,staff training bahut zaroori behavior accha nahi,english
MORLY/E/2023/1234567,train schedule bahut kharab time nahi aati logon pareshani,english
MORLY/E/2023/2345678,ticket paisa refund nahi bahut samay,english
MORLY/E/2023/3456789,platform bahut dirty safai nahi bahut bura lagta,english
MORLY/E/2023/4567890,station staff kami nahi milti,english
MORLY/E/2023/5678901,train time nahi chalti bhai log pareshan,english
MORLY/E/2023/6789012,ticket paisa nahi mila jaldi,english
MORLY/E/2023/7890123,railway station washroom bahut ganda saaf nahi jata,english
MORLY/E/2023/8901234,staff rude customer service better honi chahiye,english
MORLY/E/2023/9012345,train late aati ispar action nahi,english
MORLY/E/2023/0123456,ticket paisa nahi mil,english
MORLY/E/2023/1234568,station seating arrangement nahi bahut bura,english
MORLY/E/2023/2345679,staff rude isko improve chahiye,english
MORLY/E/2023/3456780,train number pata nahi chala nahi mil,english
MORLY/E/2023/4567891,refund paisa nahi mila jaldi,english
MORLY/E/2023/5678902,station infrastructure bahut kharab nahi badla,english
MORLY/E/2023/6789013,railway staff rude sabko respect dena chahiye,english
MORLY/E/2023/7890124,train bahut confusion bata nahi,english
MORLY/E/2023/8901235,refund paisa nahi check,english
MORLY/E/2023/2345678,train timing galat pichli baar min late,english
MORLY/E/2023/3456789,ticket refund nahi mila payment balance abhi,english
MORLY/E/2023/4567890,station cleanliness bahut kharab kachra har jagah,english
MORLY/E/2023/5678901,train staff behavior bahut rude training zarurat,english
MORLY/E/2023/6789012,train service bekar time nahi aati bahut pareshaan main,english
MORLY/E/2023/7890123,ticket payment baar cut sakte,english
MORLY/E/2023/8901234,platform kahi seating nahi log zameen baith theek nahi,english
MORLY/E/2023/9012345,conductor private baat karte hue ignore theek nahi,english
MORLY/E/2023/0123456,train service schedule bahut bekar time nahi aata,english
MORLY/E/2023/1234560,payment samasya wajah nahi,english
MORLY/E/2023/2345671,station building purani repair zarurat,english
MORLY/E/2023/3456782,conductors bahut bekar unse baat mushkil,english
MORLY/E/2023/4567893,train schedule bahut complicated lagta aasan chahiye,english
MORLY/E/2023/5678904,payment status pata nahi chal bahut samasya,english
MORLY/E/2023/6789015,station building kharab halat iski repair zarurat,english
MORLY/E/2023/7890126,lagta staff training zarurat attitude sahi nahi,english
MORLY/E/2023/8901237,train schedule bahut dikkat bahut late,english
MORLY/E/2023/9012348,train payment nahi mil bahut dikkat,english
MORLY/E/2023/2345678,train timing baare complaint pichle hafte train ghante late,english
MORLY/E/2023/3456789,apni ticket payment refund nahi mila karun,english
MORLY/E/2023/4567890,station staff behavior bahut kharab training zarurat,english
MORLY/E/2023/5678901,station sadak bahut kharab badi dikkat jaldi theek,english
MORLY/E/2023/6789012,train samay update nahi mila nahi,english
MORLY/E/2023/7890123,ticket pay abhi confirmation nahi,english
MORLY/E/2023/8901234,station staff nahi jab zarurat,english
MORLY/E/2023/9012345,platform safai nahi bahut ganda,english
MORLY/E/2023/0123456,puri train seat available nahi bahut dikkat,english
MORLY/E/2023/1234560,apne ticket refund nahi mila,english
MORLY/E/2023/2345601,staff training bahut zarurat nahi bahut dikkat,english
MORLY/E/2023/3456012,platform safai nahi bahut gandh,english
MORLY/E/2023/4560123,train schedule bahut bekaar improvement nahi,english
MORLY/E/2023/5670124,apne refund status nahi mila check,english
MORLY/E/2023/6780125,staff nahi mili jab zarurat,english
MORLY/E/2023/7890126,station kisi tarah infrastructure kami bahut takleef,english
MORLY/E/2023/8901267,train schedule bahut ganda regular updates nahi,english
MORLY/E/2023/9012678,refund response nahi,english
MORLY/E/2023/0126789,staff training bahut zaruri nahi bahut dikkat,english
MORLY/E/2023/1936748,train late meeting late pada log aise operate karte,english
MORLY/E/2023/5820143,ticket paisa wapas nahi main baar baar call nahi payi,english
MORLY/E/2023/7468502,platform bahut gandh bheed bahut safai nahi,english
MORLY/E/2023/6012904,railway staff behavior bahut kharab unhone ignore,english
MORLY/E/2023/4872635,train schedule pata nahi chala bahut samay barbaad,english
MORLY/E/2023/2190548,payment issue transaction fail,english
MORLY/E/2023/3456789,train station bahut kharab infrastructure cleaning nahi,english
MORLY/E/2023/9876541,staff ghalat information isliye problem face karni padi,english
MORLY/E/2023/1234567,train time table bahut confusing nahi samajh,english
MORLY/E/2023/4567890,payment status update nahi samajh nahi,english
MORLY/E/2023/7890123,station infrastructure kharab toilets bahut dirty,english
MORLY/E/2023/2345678,staff nahi jab zaroorat behavior achha nahi,english
MORLY/E/2023/6789012,train time badal pata nahi chala isliye dikkat,english
MORLY/E/2023/8901234,refund nahi mila kisi nahi,english
MORLY/E/2023/3456781,train station safety issues nahi,english
MORLY/E/2023/8765432,nahi mili staff jab zaroorat iski wajah problem,english
MORLY/E/2023/2345679,train delay wajah badi dikkat nahi,english
MORLY/E/2023/9876543,refund nahi mila customer service nahi mili,english
MORLY/E/2023/6543210,station bahut gandh infrastructure kami sudhar nahi,english
MORLY/E/2023/3210001,staff behavior theek nahi bahut pareshani,english
MORLY/E/2023/1234567,train time information nahi mil staff nahi dikh,english
MORLY/E/2023/2345678,ticket payment nahi refund chahiye,english
MORLY/E/2023/3456789,platform bahut kharab train waqt nahi mil,english
MORLY/E/2023/4567890,train staff behavior bahut kharab samasya,english
MORLY/E/2023/5678901,train schedule bar bar change bahut pareshani,english
MORLY/E/2023/6789012,ticket paisa wapas nahi mil bahut samay,english
MORLY/E/2023/7890123,railway station safai nahi bahut ganda,english
MORLY/E/2023/8901234,railway staff baat fayda nahi sunte nahi,english
MORLY/E/2023/9012345,train timings control nahi bahut samay waste,english
MORLY/E/2023/0123456,refund nahi mila baar ticket book,english
MORLY/E/2023/1234560,station building bahut purani kharab,english
MORLY/E/2023/2345671,staff lene bahut pareshani nahi karte,english
MORLY/E/2023/3456782,train service bahut bekaar samay nahi aati,english
MORLY/E/2023/4567893,ticket book payment nahi chahiye,english
MORLY/E/2023/5678904,station toilet bahut gande safai nahi,english
MORLY/E/2023/6789015,train staff behavior bahut ganda nahi karte,english
MORLY/E/2023/7890126,train baar baar cancel bahut pareshani,english
MORLY/E/2023/8901237,ticket payment confirmation nahi mila,english
MORLY/E/2023/9012348,station bahut badbu toilets gande,english
MORLY/E/2023/0123459,staff training kami nahi karte,english
MORLY/E/2023/2345670,train service bekar time nahi aati,english
MORLY/E/2023/3456781,payment nahi baar baar try,english
MORLY/E/2023/4567892,station bahar area kharab ganda,english
MORLY/E/2023/5678903,railway staff nahi mil ignore karte,english
MORLY/E/2023/5671234,train time nahi aana bahut bura pichle ghante station wait,english
MORLY/E/2023/9864321,refund paisa abhi nahi mila payment details xxxxxx,english
MORLY/E/2023/1256789,staff behavior bahut kharab unhone jaane nahi jab main apni train late,english
MORLY/E/2023/5432198,platform bahut ganda safai nahi aisa nahi chahiye,english
MORLY/E/2023/2345678,train hue dekh bahut intezar train nahi bahut takleef,english
MORLY/E/2023/6781234,ticket cancel paisa nahi xxxxxx,english
MORLY/E/2023/3456789,railway personnel attitude bahut kharab train information nahi pata,english
MORLY/E/2023/4567890,station safai bahut kharab ganda platform bahut bura,english
MORLY/E/2023/7890123,train route change nahi pata late,english
MORLY/E/2023/8901234,ticket book paisa nahi mila xxxxxx,english
MORLY/E/2023/9012345,railway staff badtameezi samna pada theek nahi,english
MORLY/E/2023/0123456,railway station building purani iski marammat zarurat,english
MORLY/E/2023/1357924,train late meeting miss karni padi galat,english
MORLY/E/2023/2468101,payment abhi receive nahi xxxxxx,english
MORLY/E/2023/3579134,personnel train schedule baare nahi pata bahut bura laga,english
MORLY/E/2023/4680246,platform lamp nahi raat bahut dikkat,english
MORLY/E/2023/5791355,train timings galat jaankari bahut dikkat,english
MORLY/E/2023/6802468,refund paisa nahi mila xxxxxx,english
MORLY/E/2023/7913579,personnel badtameezi samna pada galat,english
MORLY/E/2023/8901357,railway station safai bekar bahut kharab,english
MORLY/E/2023/1234567,train schedule bahut bura humesha late,english
MORLY/E/2023/2345678,payment issue paisa nahi,english
MORLY/E/2023/3456789,staff behavior accha nahi training zarurat,english
MORLY/E/2023/4567890,station cleanliness bahut kharab toilet gande,english
MORLY/E/2023/5678901,train doston baat nahi jab unse maangte,english
MORLY/E/2023/6789012,refund nahi mila transaction xxxxxx issue,english
MORLY/E/2023/7890123,station staff behavior theek nahi train bare nahi pata,english
MORLY/E/2023/8901234,railway station bahut purana facilities bahut kharab,english
MORLY/E/2023/9012345,train time nahi aati information nahi milta,english
MORLY/E/2023/0123456,apne refund response nahi mila,english
MORLY/E/2023/1234568,train staff bahut rude behavior theek nahi,english
MORLY/E/2023/2345679,bridge bahut purana sudhar zaruri,english
MORLY/E/2023/3456790,train services bahut bekar samay nahi milti,english
MORLY/E/2023/4567891,transaction amount nahi support nahi mila,english
MORLY/E/2023/5678902,staff training zarurat knowledge nahi,english
MORLY/E/2023/6789013,station building bahut purani repair zaroori,english
MORLY/E/2023/7890124,train time bahut badal kisi pata nahi,english
MORLY/E/2023/8901235,payment process bahut complex chahiye,english
MORLY/E/2023/9012346,staff customer service training zarurat,english
MORLY/E/2023/1234567,train time nahi aana bahut pareshan ghante late,english
MORLY/E/2023/2345678,payment process dikkat barbar try fail,english
MORLY/E/2023/3456789,train staff baat mushkil nahi karta,english
MORLY/E/2023/4567890,station bahut saari facilities nahi toilet ganda safai nahi,english
MORLY/E/2023/5678901,train frequency bahut kam aaj kal aam janta dikkat,english
MORLY/E/2023/6789012,ticket cancel refund nahi mil aaj kal process bahut slow,english
MORLY/E/2023/7890123,train guards logon baat nahi karte train samasya nahi karta,english
MORLY/E/2023/8901234,station cleaning bahut bekar baar report nahi,english
MORLY/E/2023/9012345,train kaam nahi safar bahut pareshani,english
MORLY/E/2023/0123456,online ticket payment nahi mil baar baar error,english
MORLY/E/2023/1234500,train ticket collector behavior accha nahi sabko darate,english
MORLY/E/2023/2345601,platform safai bekar khud dekhne aana padta,english
MORLY/E/2023/3456702,train bahut jyada crowd control nahi log gir jaate,english
MORLY/E/2023/4567803,refund paisa nahi mila deadline cross,english
MORLY/E/2023/5678904,station staff nahi bahut pareshani,english
MORLY/E/2023/6789015,roads station bahut kharab bahut dikkat karte safar,english
MORLY/E/2023/7890126,train schedule bahut bekar baar baar change aise safar mushkil,english
MORLY/E/2023/8901237,credit card payment online nahi baar baar error,english
MORLY/E/2023/9012348,staff training nahi train nahi karta,english
MORLY/E/2023/0123459,station facilities kharab bahut saari cheezein missing,english
MORLY/E/2023/4723101,train time bahut late wajah samasya kripya kijiye,english
MORLY/E/2023/3457890,ticket refund nahi mila uske payment abhi nahi,english
MORLY/E/2023/8765432,chennai station facilities bahut kharab toilets waiting area gande,english
MORLY/E/2023/1357980,kolkata station staff behavior accha nahi training zarurat,english
MORLY/E/2023/4568901,train timing bahut kharab baar baar late kaam miss,english
MORLY/E/2023/6781234,ticket refund nahi mila mahine pehle cancel,english
MORLY/E/2023/7894567,pune station bahut saari suvidhayein nahi waiting area lounge zarurat,english
MORLY/E/2023/8902345,staff behavior theek nahi customer service training deni chahiye,english
MORLY/E/2023/9012345,train schedule bahut bekar kaam jaana mushkil,english
MORLY/E/2023/2345679,payment confirmation nahi mila ticket cancel nahi,english
MORLY/E/2023/3456789,indore station facilities nahi waiting room toilets zarurat,english
MORLY/E/2023/4567890,nagpur station staff attitude theek nahi training zarurat,english
MORLY/E/2023/5678901,train timings bahut late main kaam nahi paa,english
MORLY/E/2023/6789012,ticket refund nahi mila cancel nahi,english
MORLY/E/2023/7890123,bhopal station facilities bahut kharab toilets waiting area zarurat,english
MORLY/E/2023/8901234,raipur station staff behavior accha nahi customer service training zarurat,english
MORLY/E/2023/9012345,train schedule bekar naukri jaana mushkil,english
MORLY/E/2023/2345678,ticket refund nahi mila cancel,english
MORLY/E/2023/4567890,coimbatore station facilities nahi toilets waiting area zarurat,english
MORLY/E/2023/2345678,train time bahut late,english
MORLY/E/2023/3456789,payment confirmation nahi mila jaldi bhej,english
MORLY/E/2023/4567890,guard bahut rude behavior iske action lena chahiye,english
MORLY/E/2023/5678901,platform bahut dirty iski safai chahiye,english
MORLY/E/2023/6789012,train bogie bahut kharab isko repair,english
MORLY/E/2023/7890123,refund nahi mila jaldi bhej,english
MORLY/E/2023/8901234,staff training nahi service achi nahi,english
MORLY/E/2023/9012345,station lift nahi chal isko jaldi repair,english
MORLY/E/2023/0123456,train schedule baar baar change isko fix,english
MORLY/E/2023/1234567,booking sms nahi mila bhej,english
MORLY/E/2023/2345679,railway staff behavior accha nahi dhyan dein,english
MORLY/E/2023/3456780,station washroom clean nahi dhyan rakhein,english
MORLY/E/2023/4567891,train seat nahi mili baare,english
MORLY/E/2023/5678902,booking cancel refund nahi mila check,english
MORLY/E/2023/6789013,staff customer service dikkat iski janch,english
MORLY/E/2023/7890124,station escalator band isko repair,english
MORLY/E/2023/8901235,train luggage nahi mil chahiye,english
MORLY/E/2023/9012346,refund status nahi pata jaldi batao,english
MORLY/E/2023/0123457,staff behavior theek nahi aapko dhyan dena chahiye,english
MORLY/E/2023/1234567,train time bahut delay information nahi mil,english
MORLY/E/2023/2345678,payment refund nahi mila hafte pehle apply,english
MORLY/E/2023/3456789,saath station staff behaviour bahut kharab action,english
MORLY/E/2023/4567890,platform bahut gande paani bhara safai hogi,english
MORLY/E/2023/5678901,train route change bina kisi information galat,english
MORLY/E/2023/6789012,payment status update nahi,english
MORLY/E/2023/7890123,station staff bekaar samjha attitude bahut bura,english
MORLY/E/2023/8901234,railway station cleaning bahut kharab kripya dhyan dijiye,english
MORLY/E/2023/9012345,train chhoot kyunki platform announcements nahi bahut samasya,english
MORLY/E/2023/0123456,booking refund status nahi pata log,english
MORLY/E/2023/1234568,staff mujhse achhe baat nahi vyavhaar theek nahi,english
MORLY/E/2023/2345679,station building bahut purani renovation chahiye,english
MORLY/E/2023/3456780,train seat confirm nahi galat,english
MORLY/E/2023/4567891,payment related update nahi bahut samasya,english
MORLY/E/2023/5678902,staff achha vyavhaar nahi mila theek nahi,english
MORLY/E/2023/6789013,railway station bahut zyada bheed seating arrangement theek nahi,english
MORLY/E/2023/7890124,train service bahut bekar bahut delay,english
MORLY/E/2023/8901235,payment nahi pata bahut samasya,english
MORLY/E/2023/9012346,staff sahi information nahi bahut samasya,english
MORLY/E/2023/4876234,train time bahut late log bahut pareshaan,english
MORLY/E/2023/3456789,ticket book paise deduct ticket nahi mila karoon,english
MORLY/E/2023/1234567,station staff behavior bahut kharab unhein training zaroorat,english
MORLY/E/2023/2345678,platform safai nahi bahut gandh,english
MORLY/E/2023/6789012,train frequency bahut kam logon bahut dikkat,english
MORLY/E/2023/7890123,payment delay dhyan sakte,english
MORLY/E/2023/8901234,train staff training bahut zaruri kisi pata nahi,english
MORLY/E/2023/9012345,station washrooms bahut gande inki safai zarurat,english
MORLY/E/2023/0123456,train schedule inconsistent logon mushkil,english
MORLY/E/2023/1234567,refund issue galti tickets book,english
MORLY/E/2023/2345678,staff behavior thik nahi unhein samajhna zaroori,english
MORLY/E/2023/3456789,foot overbridge bahut kharab iski safai repair zarurat,english
MORLY/E/2023/4567890,train time nahi aati logon bahut dikkat,english
MORLY/E/2023/5678901,refund nahi mila dekh sakte,english
MORLY/E/2023/6789012,station staff behavior theek nahi unko sikhaana padega,english
MORLY/E/2023/7890123,station building bahut purani isse renovate padega,english
MORLY/E/2023/8901234,train seats booking dikkat dhyan dein,english
MORLY/E/2023/9012345,transaction confirmation nahi mila dekh sakte,english
MORLY/E/2023/0123456,station staff customers baat tarika nahi aata dhyan dein,english
MORLY/E/2023/1234567,station facility nahi passengers dikkat,english
MORLY/E/2023/1234567,train time late office jaana solution,english
MORLY/E/2023/2345678,ticket payment process nahi baar baar try,english
MORLY/E/2023/3456789,staff behavior bahut kharab training jarurat,english
